Form_rufi Form_exse Form_cuni Form_poly Form_para Form_prat Form_rufa Form_fusc Form_lugu Form_lema Form_sang Form_pres
Form_rufi NA 0.13213388028169 0.0461763098980625 0.117186513615024 0.122171768549847 0.122307066948357 0.117246297604525 0.12695438028169 0.120895295866106 0.127173014302309 0.12412643910522 0.12578266153169
Form_exse 0.13213388028169 NA 0.0894944861878453 0.0809966333333333 0.0859818882681564 0.0861171866666667 0.0810564173228347 0.0907585 0.0847054155844156 0.0909771340206186 0.0879365588235294 0.05303478125
Form_cuni 0.0461763098980625 0.0894944861878453 NA 0.0745471195211787 0.0795323744560018 0.079667672854512 0.07460690351068 0.0843149861878453 0.0782559017722609 0.0845336202084639 0.0814870450113747 0.0831432674378453
Form_poly 0.117186513615024 0.0809966333333333 0.0745471195211787 NA 0.0151224880819367 0.01525782 0.000135090288713911 0.0758171333333334 0.0138460489177489 0.0760357673539519 0.0660911921568627 0.0746454145833334
Form_para 0.122171768549847 0.0859818882681564 0.0795323744560018 0.0151224880819367 NA 0.00369485087523277 0.015182272071438 0.0808023882681565 0.00248399484872669 0.081021022288775 0.0710764470916859 0.0796306695181565
Form_prat 0.122307066948357 0.0861171866666667 0.079667672854512 0.01525782 0.00369485087523277 NA 0.0153176039895013 0.0809376866666667 0.00262959411255411 0.0811563206872853 0.0712117454901961 0.0797659679166667
Form_rufa 0.117246297604525 0.0810564173228347 0.07460690351068 0.000135090288713911 0.015182272071438 0.0153176039895013 NA 0.0758769173228347 0.0139058329072502 0.0760955513434532 0.066150976146364 0.0747051985728347
Form_fusc 0.12695438028169 0.0907585 0.0843149861878453 0.0758171333333334 0.0808023882681565 0.0809376866666667 0.0758769173228347 NA 0.0795259155844156 0.000399273505154639 0.0827570588235294 0.08440728125
Form_lugu 0.120895295866106 0.0847054155844156 0.0782559017722609 0.0138460489177489 0.00248399484872669 0.00262959411255411 0.0139058329072502 0.0795259155844156 NA 0.0797445496050342 0.069799974407945 0.0783541968344156
Form_lema 0.127173014302309 0.0909771340206186 0.0845336202084639 0.0760357673539519 0.081021022288775 0.0811563206872853 0.0760955513434532 0.000399273505154639 0.0797445496050342 NA 0.082975692844148 0.0846259152706186
Form_sang 0.12412643910522 0.0879365588235294 0.0814870450113747 0.0660911921568627 0.0710764470916859 0.0712117454901961 0.066150976146364 0.0827570588235294 0.069799974407945 0.082975692844148 NA 0.0815853400735294
Form_pres 0.12578266153169 0.05303478125 0.0831432674378453 0.0746454145833334 0.0796306695181565 0.0797659679166667 0.0747051985728347 0.08440728125 0.0783541968344156 0.0846259152706186 0.0815853400735294 NA
