Form_cuni Form_exse Form_fusc Form_lema Form_lugu Form_para Form_poly Form_prat Form_pres Form_rufa Form_rufi Form_sang
NA 0 0 0.0714285714285714 0 0 0 0.0714285714285714 0.285714285714286 0 0 0
NA NA NA NA NA NA NA NA NA NA NA NA
0 0 NA 0 0 0 0 0 0 0.0769230769230769 0 0
0.0112359550561798 0 0 NA 0.101123595505618 0.0112359550561798 0 0 0.123595505617978 0 0 0
0 0 0 0.214285714285714 NA 0.0238095238095238 0 0 0.142857142857143 0 0 0
0 0 0 0.0555555555555556 0.0555555555555556 NA 0 0 0.277777777777778 0 0 0
0 0 0 0 0 0 NA 0.333333333333333 0 0 0 0
0.166666666666667 0 0 0 0 0 0.166666666666667 NA 0 0 0.166666666666667 0
0.102564102564103 0 0 0.282051282051282 0.153846153846154 0.128205128205128 0 0 NA 0 0 0.0256410256410256
0 0 0.142857142857143 0 0 0 0 0 0 NA 0 0
0 0 0 0 0 0 0 0.0833333333333333 0 0 NA 0
0 0 0 0 0 0 0 0 0.25 0 0 NA
