sp1 sp2 hybridization divergence published_date
Form_rufi Form_rufi NA NA 0
Form_rufi Form_exse 1e-05 0.13213388028169 20.2047
Form_rufi Form_cuni 0.00138685185185185 0.0461763098980625 8.56235
Form_rufi Form_poly 1e-05 0.117186513615024 20.2047
Form_rufi Form_para 1.00529100529101e-05 0.122171768549847 NA
Form_rufi Form_prat 1.0042328042328e-05 0.122307066948357 20.2047
Form_rufi Form_rufa 1.0042328042328e-05 0.117246297604525 20.2047
Form_rufi Form_fusc 1.0010582010582e-05 0.12695438028169 20.89265
Form_rufi Form_lugu 1e-05 0.120895295866106 20.2047
Form_rufi Form_lema 1e-05 0.127173014302309 20.89265
Form_rufi Form_sang 1.0042328042328e-05 0.12412643910522 20.2047
Form_rufi Form_pres 1e-05 0.12578266153169 20.2047
Form_exse Form_rufi 1e-05 0.13213388028169 20.2047
Form_exse Form_exse NA NA 6.0633875
Form_exse Form_cuni 1e-05 0.0894944861878453 20.20475
Form_exse Form_poly 1e-05 0.0809966333333333 17.6124
Form_exse Form_para 1e-05 0.0859818882681564 NA
Form_exse Form_prat 1e-05 0.0861171866666667 17.6124
Form_exse Form_rufa 1e-05 0.0810564173228347 17.6124
Form_exse Form_fusc 1e-05 0.0907585 20.89265
Form_exse Form_lugu 1e-05 0.0847054155844156 17.6124
Form_exse Form_lema 1e-05 0.0909771340206186 20.89265
Form_exse Form_sang 1e-05 0.0879365588235294 17.6124
Form_exse Form_pres 1e-05 0.05303478125 11.6327
Form_cuni Form_rufi 0.0013177868852459 0.0461763098980625 8.56235
Form_cuni Form_exse 1.00874316939891e-05 0.0894944861878453 20.20475
Form_cuni Form_cuni NA NA 0
Form_cuni Form_poly 1e-05 0.0745471195211787 20.20475
Form_cuni Form_para 1e-05 0.0795323744560018 NA
Form_cuni Form_prat 1e-05 0.079667672854512 20.20475
Form_cuni Form_rufa 1.00327868852459e-05 0.07460690351068 20.20475
Form_cuni Form_fusc 1.0016393442623e-05 0.0843149861878453 20.8927
Form_cuni Form_lugu 1e-05 0.0782559017722609 20.20475
Form_cuni Form_lema 1.00491803278689e-05 0.0845336202084639 20.8927
Form_cuni Form_sang 1e-05 0.0814870450113747 20.20475
Form_cuni Form_pres 1e-05 0.0831432674378453 20.20475
Form_poly Form_rufi 1e-05 0.117186513615024 20.2047
Form_poly Form_exse 1e-05 0.0809966333333333 17.6124
Form_poly Form_cuni 1.00347222222222e-05 0.0745471195211787 20.20475
Form_poly Form_poly NA NA 0
Form_poly Form_para 0.00129247916666667 0.0151224880819367 NA
Form_poly Form_prat 6.54375e-05 0.01525782 5.506
Form_poly Form_rufa 0.0460579930555556 0.000135090288713911 3.0036
Form_poly Form_fusc 1e-05 0.0758171333333334 20.89265
Form_poly Form_lugu 0.00219454861111111 0.0138460489177489 4.8123
Form_poly Form_lema 1e-05 0.0760357673539519 20.89265
Form_poly Form_sang 1e-05 0.0660911921568627 16.8089
Form_poly Form_pres 1e-05 0.0746454145833334 17.6124
Form_para Form_rufi 1e-05 0.122171768549847 NA
Form_para Form_exse 1e-05 0.0859818882681564 NA
Form_para Form_cuni 1e-05 0.0795323744560018 NA
Form_para Form_poly 0.00120758602150538 0.0151224880819367 NA
Form_para Form_para NA NA NA
Form_para Form_prat 0.000473016129032258 0.00369485087523277 NA
Form_para Form_rufa 0.000313301075268817 0.015182272071438 NA
Form_para Form_fusc 1.00430107526882e-05 0.0808023882681565 NA
Form_para Form_lugu 0.0433127956989247 0.00248399484872669 NA
Form_para Form_lema 1e-05 0.081021022288775 NA
Form_para Form_sang 1e-05 0.0710764470916859 NA
Form_para Form_pres 1e-05 0.0796306695181565 NA
Form_prat Form_rufi 1e-05 0.122307066948357 20.2047
Form_prat Form_exse 1.00666666666667e-05 0.0861171866666667 17.6124
Form_prat Form_cuni 5.36533333333333e-05 0.079667672854512 20.20475
Form_prat Form_poly 0.000352493333333333 0.01525782 5.506
Form_prat Form_para 0.00111174666666667 0.00369485087523277 NA
Form_prat Form_prat NA NA 0
Form_prat Form_rufa 0.00269944 0.0153176039895013 5.506
Form_prat Form_fusc 1e-05 0.0809376866666667 20.89265
Form_prat Form_lugu 0.00122313333333333 0.00262959411255411 5.506
Form_prat Form_lema 1e-05 0.0811563206872853 20.89265
Form_prat Form_sang 0.00022116 0.0712117454901961 16.8089
Form_prat Form_pres 1e-05 0.0797659679166667 17.6124
Form_rufa Form_rufi 1e-05 0.117246297604525 20.2047
Form_rufa Form_exse 1e-05 0.0810564173228347 17.6124
Form_rufa Form_cuni 1e-05 0.07460690351068 20.20475
Form_rufa Form_poly 0.0125392142857143 0.000135090288713911 3.0036
Form_rufa Form_para 0.000237035714285714 0.015182272071438 NA
Form_rufa Form_prat 1e-05 0.0153176039895013 5.506
Form_rufa Form_rufa NA NA 0
Form_rufa Form_fusc 1e-05 0.0758769173228347 20.89265
Form_rufa Form_lugu 0.000311330357142857 0.0139058329072502 4.8123
Form_rufa Form_lema 1.00357142857143e-05 0.0760955513434532 20.89265
Form_rufa Form_sang 1e-05 0.066150976146364 16.8089
Form_rufa Form_pres 1e-05 0.0747051985728347 17.6124
Form_fusc Form_rufi 1e-05 0.12695438028169 20.89265
Form_fusc Form_exse 1e-05 0.0907585 20.89265
Form_fusc Form_cuni 1.00485436893204e-05 0.0843149861878453 20.8927
Form_fusc Form_poly 1e-05 0.0758171333333334 20.89265
Form_fusc Form_para 1e-05 0.0808023882681565 NA
Form_fusc Form_prat 1e-05 0.0809376866666667 20.89265
Form_fusc Form_rufa 1e-05 0.0758769173228347 20.89265
Form_fusc Form_fusc NA NA 0
Form_fusc Form_lugu 1.00388349514563e-05 0.0795259155844156 20.89265
Form_fusc Form_lema 1.01456310679612e-05 0.000399273505154639 11.801
Form_fusc Form_sang 1e-05 0.0827570588235294 20.89265
Form_fusc Form_pres 1e-05 0.08440728125 20.89265
Form_lugu Form_rufi 1.00166666666667e-05 0.120895295866106 20.2047
Form_lugu Form_exse 1e-05 0.0847054155844156 17.6124
Form_lugu Form_cuni 2.09291666666667e-05 0.0782559017722609 20.20475
Form_lugu Form_poly 0.00250359166666667 0.0138460489177489 4.8123
Form_lugu Form_para 0.0251052166666667 0.00248399484872669 NA
Form_lugu Form_prat 0.0066897625 0.00262959411255411 5.506
Form_lugu Form_rufa 0.001619525 0.0139058329072502 4.8123
Form_lugu Form_fusc 1e-05 0.0795259155844156 20.89265
Form_lugu Form_lugu NA NA 0
Form_lugu Form_lema 1e-05 0.0797445496050342 20.89265
Form_lugu Form_sang 9.25625e-05 0.069799974407945 16.8089
Form_lugu Form_pres 1e-05 0.0783541968344156 17.6124
Form_lema Form_rufi 1.00738916256158e-05 0.127173014302309 20.89265
Form_lema Form_exse 1.00492610837438e-05 0.0909771340206186 20.89265
Form_lema Form_cuni 3.14679802955665e-05 0.0845336202084639 20.8927
Form_lema Form_poly 1.00246305418719e-05 0.0760357673539519 20.89265
Form_lema Form_para 1.00394088669951e-05 0.081021022288775 NA
Form_lema Form_prat 1e-05 0.0811563206872853 20.89265
Form_lema Form_rufa 1e-05 0.0760955513434532 20.89265
Form_lema Form_fusc 8.88226600985222e-05 0.000399273505154639 11.801
Form_lema Form_lugu 1e-05 0.0797445496050342 20.89265
Form_lema Form_lema NA NA 0
Form_lema Form_sang 1e-05 0.082975692844148 20.89265
Form_lema Form_pres 1e-05 0.0846259152706186 20.89265
Form_sang Form_rufi 1e-05 0.12412643910522 20.2047
Form_sang Form_exse 1.02205882352941e-05 0.0879365588235294 17.6124
Form_sang Form_cuni 1e-05 0.0814870450113747 20.20475
Form_sang Form_poly 1e-05 0.0660911921568627 16.8089
Form_sang Form_para 1e-05 0.0710764470916859 NA
Form_sang Form_prat 1e-05 0.0712117454901961 16.8089
Form_sang Form_rufa 1e-05 0.066150976146364 16.8089
Form_sang Form_fusc 1e-05 0.0827570588235294 20.89265
Form_sang Form_lugu 1e-05 0.069799974407945 16.8089
Form_sang Form_lema 1.01029411764706e-05 0.082975692844148 20.89265
Form_sang Form_sang NA NA NA
Form_sang Form_pres 1e-05 0.0815853400735294 17.6124
Form_pres Form_rufi 1e-05 0.12578266153169 20.2047
Form_pres Form_exse 0.000441832061068702 0.05303478125 11.6327
Form_pres Form_cuni 7.28320610687023e-05 0.0831432674378453 20.20475
Form_pres Form_poly 0.000155068702290076 0.0746454145833334 17.6124
Form_pres Form_para 1e-05 0.0796306695181565 NA
Form_pres Form_prat 1e-05 0.0797659679166667 17.6124
