	Form_rufi	Form_exse	Form_cuni	Form_poly	Form_para	Form_prat	Form_rufa	Form_fusc	Form_lugu	Form_lema	Form_sang	Form_pres
Form_rufi	NA	20.2047	8.56235	20.2047	NA	20.2047	20.2047	20.89265	20.2047	20.89265	20.2047	20.2047
Form_exse	20.2047	NA	20.2047	17.6124	NA	17.6124	17.6124	20.89265	17.6124	20.89265	17.6124	11.6327
Form_cuni	8.56235	20.20475	NA	20.20475	NA	20.2047	20.20475	20.89265	20.20475	20.89265	20.20475	20.20475
Form_poly	20.2047	17.6124	20.2047	NA	NA	5.506	3.0036	20.89265	4.8123	20.89265	16.8089	17.6124
Form_para	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Form_prat	20.2047	17.6124	20.2047	5.506	NA	NA	5.506	20.89265	5.506	20.89265	16.8089	17.6124
Form_rufa	20.2047	17.6124	20.2047	3.0036	NA	5.506	NA	20.89265	4.8123	20.89265	16.8089	17.6124
Form_fusc	20.89265	20.89265	20.89265	20.89265	NA	20.89265	20.89265	NA	20.89265	11.801	20.89265	20.89265
Form_lugu	20.2047	17.6124	20.2047	4.8123	NA	5.506	4.8123	20.89265	NA	20.89265	16.8089	17.6124
Form_lema	20.89265	20.89265	20.89265	20.89265	NA	20.89265	20.89265	11.801	20.89265	NA	20.89265	20.89265
Form_sang	20.2047	17.6124	20.2047	16.8089	NA	16.8089	16.8089	20.89265	16.8089	20.89265	NA	17.6124
Form_pres	20.2047	17.6124	20.2047	17.6124	NA	17.6124	17.6124	20.89265	17.6124	20.89265	17.6124	NA
