CATALOGUENUMBER;SPECIESSUMMARY;SAMPLING;TypeOfSample;NESTCOLLECTION;BDM;PLOT;COMMUNEEXTRACT;NUMBERWORKERS;X;Y;ALTITUDE;HABITAT;NUMBERQUEENS;NUMBERMALES;NUMBERLARVAE;NUMBERCOCOONS;IDENTIFIER;GENUSID;SPECISID;DATEIDENTIFICATION;CONFIRMEDID;SPECIESIDFINAL;COMMENTS;slope25;topo;south;gt_ch_100;LU18_46cl;LC18_27cl;SampleDate;SoilTemp;SoilTempAnomaly;TypeOfOpen;mixedForest;Grass;Forb;Shrub;Bare;Litter;Moss;bio1_tmean_8110;bio2_dr_8110;bio1_tmean_8110_8111;bio2_dr_8110_8111;bio5_tmaxw_8110;bio6_tminc_8110;bio7_tar_8110;bio8_twetq_8110;bio9_tdryq_8110;bio10_twarmq_8110;bio11_tcoldq_8110;bio12_p_8110;bio13_pwet_8110;bio14_pdry_8110;bio15_ps_8110;bio16_pwetq_8110;bio17_pdryq_8110;bio18_pwarmq_8110;bio19_pcoldq_8110
784;Apha_subt;public;NA;non;NA;NA;Bex;2;567482;122676;518;CulturePerm;NA;NA;NA;NA;Anne Freitag;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2533;Apha_subt;public;NA;oui;NA;NA;Aigle;25;564285;128397;482;Autre;NA;NA;NA;NA;Anne Freitag;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2861;Apha_subt;public;NA;oui;NA;NA;Aigle;25;564312;128407;482;CulturePerm;NA;NA;NA;NA;Anne Freitag;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3081;Apha_subt;public;NA;oui;NA;NA;Eclépens;11;530149;167245;463;transport;NA;NA;NA;NA;Anne Freitag;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3377;Apha_subt;public;NA;oui;NA;NA;Eclépens;15;530236;167367;475;ZoneConstruite;NA;NA;NA;NA;Anne Freitag;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3407;Apha_subt;public;NA;oui;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;Anne Freitag;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3457;Apha_subt;public;NA;oui;NA;NA;Eclépens;9;530278;167367;484;transport;NA;NA;NA;NA;Anne Freitag;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3882;Apha_subt;public;NA;oui;NA;NA;Lausanne;10;537367;151804;419;ZoneConstruite;NA;NA;NA;NA;Anne Freitag;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4272;Apha_subt;public;NA;non;NA;NA;Lausanne;3;537377;151705;418;ZoneConstruite;NA;NA;NA;NA;Anne Freitag;Apha;Apha_subt;2020;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5747;Apha_subt;public;NA;oui;NA;NA;Ferreyres;1;526316;168814;620;ForetMixe;NA;NA;NA;NA;Anne Freitag;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5753;Apha_subt;public;NA;oui;NA;NA;Ferreyres;5;526316;168814;620;ForetMixe;NA;NA;NA;NA;Anne Freitag;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5859;Apha_subt;public;NA;oui;NA;NA;Ollon;5;564501;127125;430;Carriere;NA;NA;NA;NA;Anne Freitag;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5875;Apha_subt;public;NA;oui;NA;NA;Ollon;1;564501;127125;430;Carriere;NA;NA;NA;NA;Anne Freitag;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9987;Apha_subt;public;NA;oui;NA;NA;Valeyres-sous-Montagny;NA;537014;183110;468;ZoneConstruite;NA;NA;NA;NA;Tanja Schwander;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10133;Apha_subt;public;NA;oui;NA;NA;Rolle;15;515178;146203;395;lisiere;NA;NA;NA;NA;Anne Freitag;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12255;Apha_subt;public;NA;oui;NA;NA;Ollon;17;564317;127153;472;Autre;NA;NA;1;NA;Anne Freitag;Apha;Apha_subt;2019;oui;Apha_subt;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
