"Camp_lign"	"Camp_herc"	"Camp_fall"	"Form_rufi"	"Form_sang"	"Form_prat"	"Form_cuni"	"Form_fusc"	"Form_rufa"	"Form_lema"	"Form_para"	"Form_lugu"	"Form_exse"	"Form_pres"	"Lasi_plat"	"Lasi_brun"	"Lasi_emar"	"Lasi_flav"	"Lasi_para"	"Lasi_fuli"	"Lasi_nige"	"Lasi_mixt"	"Myrm_sabu"	"Myrm_rugi"	"Myrm_spec"	"Myrm_scab"	"Myrm_rubr"	"Myrm_sche"	"Myrm_lobu"	"Tapi_erra"	"Tapi_magn"	"Tapi_subb"	"Temn_nyla"	"Temn_unif"	"Temn_nigr"	"Temn_affi"	"Tetr_caes"	"Tetr_impu"	"Tetr_immi"
"Camp_lign"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Camp_herc"	0.453032354111375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Camp_fall"	0.160189867953224	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Form_rufi"	0.461619010051123	0.125324550885766	0.426336081817974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Form_sang"	0.606777514930972	0.533261077276789	0.0461371029040063	0.279929553993617	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Form_prat"	0.876009776754771	0.433355122158332	0.180200868042511	0.468798085545448	0.57841045084034	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Form_cuni"	0.770607989966296	0.561763579293287	0.119909799665496	0.44321787876759	0.612789480544637	0.776725533241273	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Form_fusc"	0.751868107790133	0.571917081501829	0.0820593653204422	0.367689243297654	0.754458101236376	0.729280586281422	0.803787156957352	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Form_rufa"	0.508964931821607	0.554483365709558	0.0134067269470625	0.224479530436044	0.719895327561061	0.488323859217124	0.558862705378039	0.686303799301324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Form_lema"	0.200815343362441	0.593409129034919	0	0.00566646699721152	0.2367335525562	0.194520808561029	0.266583861882604	0.22665283989868	0.212569491282398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
