pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
Myrm_sabu	scaffold1000_size31995_arrow_np1212	1	100000	0.0	143	0	143	4964245
Myrm_rugi	scaffold1000_size31995_arrow_np1212	1	100000	NA	0	0	0	15096510
Myrm_spec	scaffold1000_size31995_arrow_np1212	1	100000	NA	0	0	0	625053
Myrm_scab	scaffold1000_size31995_arrow_np1212	1	100000	NA	0	0	0	3320460
Myrm_rubr	scaffold1000_size31995_arrow_np1212	1	100000	0.0001059546514091	143	131	1236378	965822
Myrm_sche	scaffold1000_size31995_arrow_np1212	1	100000	NA	0	0	0	39468
Myrm_lobu	scaffold1000_size31995_arrow_np1212	1	100000	NA	0	0	0	111540
Myrm_sabu	scaffold1001_size60155_arrow_np1212	1	100000	0.0	143	0	13013	4951375
Myrm_rugi	scaffold1001_size60155_arrow_np1212	1	100000	0.0	143	0	46475	15050035
Myrm_spec	scaffold1001_size60155_arrow_np1212	1	100000	0.0	143	0	625053	0
Myrm_scab	scaffold1001_size60155_arrow_np1212	1	100000	0.0003977542483175	143	1224	3077277	243183
Myrm_rubr	scaffold1001_size60155_arrow_np1212	1	100000	0.0	143	0	2145	2200055
Myrm_sche	scaffold1001_size60155_arrow_np1212	1	100000	0.0	143	0	39468	0
Myrm_lobu	scaffold1001_size60155_arrow_np1212	1	100000	0.0	143	0	70928	40612
Myrm_sabu	scaffold1003_size31806_arrow_np1212	1	100000	NA	0	0	0	4964388
Myrm_rugi	scaffold1003_size31806_arrow_np1212	1	100000	0.0015806022151091	143	1116	706060	14390450
Myrm_spec	scaffold1003_size31806_arrow_np1212	1	100000	NA	0	0	0	625053
Myrm_scab	scaffold1003_size31806_arrow_np1212	1	100000	NA	0	0	0	3320460
Myrm_rubr	scaffold1003_size31806_arrow_np1212	1	100000	NA	0	0	0	2202200
Myrm_sche	scaffold1003_size31806_arrow_np1212	1	100000	NA	0	0	0	39468
Myrm_lobu	scaffold1003_size31806_arrow_np1212	1	100000	0.0	138	0	138	111402
Myrm_sabu	scaffold1006_size31385_arrow_np1212	1	100000	NA	0	0	0	4964388
Myrm_rugi	scaffold1006_size31385_arrow_np1212	1	100000	0.0	143	0	143	15096367
Myrm_spec	scaffold1006_size31385_arrow_np1212	1	100000	0.0	143	0	143	624910
Myrm_scab	scaffold1006_size31385_arrow_np1212	1	100000	NA	0	0	0	3320460
Myrm_rubr	scaffold1006_size31385_arrow_np1212	1	100000	0.0001748251748251	143	318	1818960	383240
Myrm_sche	scaffold1006_size31385_arrow_np1212	1	100000	NA	0	0	0	39468
Myrm_lobu	scaffold1006_size31385_arrow_np1212	1	100000	NA	0	0	0	111540
Myrm_sabu	scaffold1007_size31379_arrow_np1212	1	100000	NA	0	0	0	29230872
Myrm_rugi	scaffold1007_size31379_arrow_np1212	1	100000	0.0	842	0	7766229	81123711
Myrm_spec	scaffold1007_size31379_arrow_np1212	1	100000	NA	0	0	0	3680382
Myrm_scab	scaffold1007_size31379_arrow_np1212	1	100000	0.0	143	0	143	19551097
Myrm_rubr	scaffold1007_size31379_arrow_np1212	1	100000	0.002582510388191	842	6151	2381791	10585009
Myrm_sche	scaffold1007_size31379_arrow_np1212	1	100000	NA	0	0	0	232392
Myrm_lobu	scaffold1007_size31379_arrow_np1212	1	100000	NA	0	0	0	656760
Myrm_sabu	scaffold1008_size31266_arrow_np1212	1	100000	0.0037429819089207	143	48	12824	9915952
Myrm_rugi	scaffold1008_size31266_arrow_np1212	1	100000	0.0003892915866848	286	5877	15096653	15096367
Myrm_spec	scaffold1008_size31266_arrow_np1212	1	100000	NA	0	0	0	1250106
Myrm_scab	scaffold1008_size31266_arrow_np1212	1	100000	0.0037771482530689	143	8	2118	6638802
Myrm_rubr	scaffold1008_size31266_arrow_np1212	1	100000	0.000254797843391	286	100	392468	4011932
Myrm_sche	scaffold1008_size31266_arrow_np1212	1	100000	NA	0	0	0	78936
Myrm_lobu	scaffold1008_size31266_arrow_np1212	1	100000	NA	0	0	0	223080
Myrm_scab	scaffold100_size703647_arrow_np1212	1	100000	0.0016487368150289	3897	90332	54788611	42967589
Myrm_lobu	scaffold100_size703647_arrow_np1212	1	100000	0.0016724592043302	3227	2305	1378210	1905590
Myrm_sche	scaffold100_size703647_arrow_np1212	1	100000	0.0005366771476556	3081	340	633528	528432
Myrm_sabu	scaffold100_size703647_arrow_np1212	1	100000	0.0018689060469908	3920	145130	77655054	68499306
Myrm_rugi	scaffold100_size703647_arrow_np1212	1	100000	0.0015681017030728	3774	308264	196584188	247865512
Myrm_spec	scaffold100_size703647_arrow_np1212	1	100000	0.0003388454851325	3350	3577	10556434	7845476
Myrm_rubr	scaffold100_size703647_arrow_np1212	1	100000	0.0014516076172358	3638	41325	28468437	36365563
Myrm_rubr	scaffold100_size703647_arrow_np1212	100001	200000	0.0026016365096991	4834	105219	40443390	38389210
Myrm_scab	scaffold100_size703647_arrow_np1212	100001	200000	0.003253890928823	4126	160394	49292986	69570194
Myrm_spec	scaffold100_size703647_arrow_np1212	100001	200000	0.0012086845091522	3796	12691	10499845	11875304
Myrm_rugi	scaffold100_size703647_arrow_np1212	100001	200000	0.0026209384826397	4680	616794	235333261	305079569
Myrm_sche	scaffold100_size703647_arrow_np1212	100001	200000	0.001732038457331	2999	855	493638	919206
Myrm_sabu	scaffold100_size703647_arrow_np1212	100001	200000	0.0032464656952222	4280	217663	67046142	110665062
Myrm_lobu	scaffold100_size703647_arrow_np1212	100001	200000	0.0022056748062825	3267	2524	1144321	2848499
Myrm_lobu	scaffold100_size703647_arrow_np1212	200001	300000	0.0002034486624288	3613	245	1204235	2236345
Myrm_sche	scaffold100_size703647_arrow_np1212	200001	300000	0.0016558774529078	3503	817	493394	724042
Myrm_sabu	scaffold100_size703647_arrow_np1212	200001	300000	0.0022558034776287	3969	133011	58963913	94168363
Myrm_scab	scaffold100_size703647_arrow_np1212	200001	300000	0.0019343910991473	4101	85144	44015918	58407502
Myrm_rugi	scaffold100_size703647_arrow_np1212	200001	300000	0.0012967412197843	4261	298400	230115304	235553966
Myrm_spec	scaffold100_size703647_arrow_np1212	200001	300000	0.0006885411270754	3334	5051	7335800	11944681
Myrm_rubr	scaffold100_size703647_arrow_np1212	200001	300000	0.0011217296736063	4258	36577	32607678	35321722
Myrm_sabu	scaffold100_size703647_arrow_np1212	300001	400000	0.0042311750360079	3574	235445	55645299	89016273
Myrm_lobu	scaffold100_size703647_arrow_np1212	300001	400000	0.0006066970015167	2722	546	899955	2350305
Myrm_sche	scaffold100_size703647_arrow_np1212	300001	400000	0.0018766306089132	2415	738	393258	756834
Myrm_rubr	scaffold100_size703647_arrow_np1212	300001	400000	0.0012413302265766	3878	25747	20741459	43430341
Myrm_scab	scaffold100_size703647_arrow_np1212	300001	400000	0.003870061443281	3863	142277	36763499	59994241
Myrm_spec	scaffold100_size703647_arrow_np1212	300001	400000	0.002283033414264	2987	14922	6536041	11677916
Myrm_rugi	scaffold100_size703647_arrow_np1212	300001	400000	0.0016802870972676	4019	279108	166107328	273802862
Myrm_rugi	scaffold100_size703647_arrow_np1212	400001	500000	0.0023414300596555	5571	646418	276078287	359453113
Myrm_scab	scaffold100_size703647_arrow_np1212	400001	500000	0.0021957881696636	5847	140558	64012550	75771850
Myrm_rubr	scaffold100_size703647_arrow_np1212	400001	500000	0.0024774684130809	5431	104095	42016681	50691319
Myrm_sabu	scaffold100_size703647_arrow_np1212	400001	500000	0.0019809161631096	5567	181469	91608622	117381698
Myrm_spec	scaffold100_size703647_arrow_np1212	400001	500000	0.0016983785700637	5420	19732	11618140	14695280
Myrm_lobu	scaffold100_size703647_arrow_np1212	400001	500000	0.0029089200246034	4973	5992	2059871	2635729
Myrm_sche	scaffold100_size703647_arrow_np1212	400001	500000	0.0009419191707762	4826	675	716622	944898
Myrm_lobu	scaffold100_size703647_arrow_np1212	500001	600000	0.0006782145140779	3154	944	1391890	1880210
Myrm_sche	scaffold100_size703647_arrow_np1212	500001	600000	0.0011925590298027	3252	638	534984	622836
Myrm_rubr	scaffold100_size703647_arrow_np1212	500001	600000	0.0011986023321604	4044	39011	32547075	32055925
Myrm_scab	scaffold100_size703647_arrow_np1212	500001	600000	0.0022197577571474	3889	104658	47148388	50259512
Myrm_spec	scaffold100_size703647_arrow_np1212	500001	600000	0.0016359646610766	3162	15053	9201299	9135046
Myrm_rugi	scaffold100_size703647_arrow_np1212	500001	600000	0.0021778894201747	4046	512318	235236002	207630148
Myrm_sabu	scaffold100_size703647_arrow_np1212	500001	600000	0.0024638354108548	3889	171580	69639392	75994228
Myrm_sche	scaffold100_size703647_arrow_np1212	600001	700000	4.461343472750317e-05	2974	22	493125	756327
Myrm_rubr	scaffold100_size703647_arrow_np1212	600001	700000	0.0003025272915248	4000	10766	35586872	34128928
Myrm_spec	scaffold100_size703647_arrow_np1212	600001	700000	0.002561240557294	2833	20817	8127702	11659815
Myrm_rugi	scaffold100_size703647_arrow_np1212	600001	700000	0.0022020744051738	4391	417705	189687051	288228339
Myrm_sabu	scaffold100_size703647_arrow_np1212	600001	700000	0.0018053658295271	3945	95397	52840814	104318518
Myrm_lobu	scaffold100_size703647_arrow_np1212	600001	700000	0.0012284026306989	2664	1102	897100	2633960
Myrm_scab	scaffold100_size703647_arrow_np1212	600001	700000	0.0022886365694675	3523	89887	39275349	65841591
Myrm_sabu	scaffold1011_size31217_arrow_np1212	1	100000	NA	0	0	0	4964388
Myrm_rugi	scaffold1011_size31217_arrow_np1212	1	100000	0.0	143	0	143	15096367
Myrm_spec	scaffold1011_size31217_arrow_np1212	1	100000	NA	0	0	0	625053
Myrm_scab	scaffold1011_size31217_arrow_np1212	1	100000	NA	0	0	0	3320460
Myrm_rubr	scaffold1011_size31217_arrow_np1212	1	100000	0.0001890001890001	143	73	386243	1815957
