pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
Tetr_caes	Tetr_impu	VBVO01000001.1	1	100000	0.0037473385148978	7828	903724	241164228	357031068
Tetr_caes	Tetr_immi	VBVO01000001.1	1	100000	0.0042064467881174	5588	103046	24497160	46929144
Tetr_impu	Tetr_immi	VBVO01000001.1	1	100000	0.0044331964664678	5588	28318	6387716	11947772
Tetr_caes	Tetr_impu	VBVO01000001.1	100001	200000	0.0038485063726781	5828	656702	170638148	247021360
Tetr_caes	Tetr_immi	VBVO01000001.1	100001	200000	0.0038415906748763	4656	70976	18475680	31394112
Tetr_impu	Tetr_immi	VBVO01000001.1	100001	200000	0.0027666401014159	4656	13400	4843420	7958404
Tetr_caes	Tetr_impu	VBVO01000001.1	200001	300000	0.0053125077798357	6064	615424	115844348	317273668
Tetr_caes	Tetr_immi	VBVO01000001.1	200001	300000	0.0055795104317106	3951	72986	13081076	38634508
Tetr_impu	Tetr_immi	VBVO01000001.1	200001	300000	0.0045794184830721	3950	15084	3293868	9981780
Tetr_caes	Tetr_impu	VBVO01000001.1	300001	400000	0.00204276655236	1855	85130	41673876	88079664
Tetr_caes	Tetr_immi	VBVO01000001.1	300001	400000	0.0011778128091876	1282	4976	4224780	11268180
Tetr_impu	Tetr_immi	VBVO01000001.1	300001	400000	0.00212868129269	1282	2376	1116184	2860936
Tetr_caes	Tetr_impu	VBVO01000002.1	1	100000	0.0031849002573152	3852	204074	64075476	205364220
Tetr_caes	Tetr_immi	VBVO01000002.1	1	100000	0.0019586105673237	2395	12042	6148236	26023668
Tetr_impu	Tetr_immi	VBVO01000002.1	1	100000	0.003431551213609	2395	5762	1679124	6579564
Tetr_caes	Tetr_impu	VBVO01000002.1	100001	200000	0.0072401368419683	3693	868296	119928120	166369044
Tetr_caes	Tetr_immi	VBVO01000002.1	100001	200000	0.0072950107839551	2429	96938	13288260	20896476
Tetr_impu	Tetr_immi	VBVO01000002.1	100001	200000	0.0096308092699014	2429	33068	3433564	5341828
Tetr_caes	Tetr_impu	VBVO01000002.1	200001	300000	0.0020133760065262	1976	124468	61820544	85979580
Tetr_caes	Tetr_immi	VBVO01000002.1	200001	300000	0.0027766486351271	1535	19536	7035820	10611956
Tetr_impu	Tetr_immi	VBVO01000002.1	200001	300000	0.0033626917977862	1672	6544	1946060	2584212
Tetr_caes	Tetr_impu	VBVO01000003.1	1	100000	0.0044019951861757	6641	683020	155161460	320554888
Tetr_caes	Tetr_immi	VBVO01000003.1	1	100000	0.0041297788964367	4881	67022	16228956	40572996
Tetr_impu	Tetr_immi	VBVO01000003.1	1	100000	0.0046727133306613	4873	20426	4371336	10210008
Tetr_caes	Tetr_impu	VBVO01000003.1	100001	200000	0.0044029407137853	4225	579696	131661096	163869204
Tetr_caes	Tetr_immi	VBVO01000003.1	100001	200000	0.005855777599604	3226	81974	13998824	21288376
Tetr_impu	Tetr_immi	VBVO01000003.1	100001	200000	0.0054797720466499	3226	20362	3715848	5342552
Tetr_caes	Tetr_impu	VBVO01000003.1	200001	300000	0.0068527952748682	1864	309280	45131948	85251124
Tetr_caes	Tetr_immi	VBVO01000003.1	200001	300000	0.0081538242464147	1286	26798	3286556	12281572
Tetr_impu	Tetr_immi	VBVO01000003.1	200001	300000	0.0100309470352926	1286	8596	856948	3139468
Tetr_caes	Tetr_impu	VBVO01000004.1	1	100000	0.0039700201431058	6492	718656	181020744	293786280
Tetr_caes	Tetr_immi	VBVO01000004.1	1	100000	0.0035812483819501	5097	67672	18896204	37797172
Tetr_impu	Tetr_immi	VBVO01000004.1	1	100000	0.0040882264213918	4954	20382	4985536	9567936
