pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
Temn_nyla	Temn_affi	scaffold100_size479644_arrow_np1212	1	100000	0.0526278199789899	2845	303592	5768660	32919660
Temn_nigr	Temn_affi	scaffold100_size479644_arrow_np1212	1	100000	0.0111937941830616	2567	19850	1773304	3896536
Temn_nyla	Temn_unif	scaffold100_size479644_arrow_np1212	1	100000	0.0461342204944438	3026	707672	15339416	73643720
Temn_nyla	Temn_nigr	scaffold100_size479644_arrow_np1212	1	100000	0.0511568983930583	2549	279358	5460808	27424264
Temn_unif	Temn_affi	scaffold100_size479644_arrow_np1212	1	100000	0.0215245136617545	2896	107322	4986036	10355884
Temn_unif	Temn_nigr	scaffold100_size479644_arrow_np1212	1	100000	0.0183859862613699	2883	78808	4286308	8754324
Temn_nigr	Temn_affi	scaffold100_size479644_arrow_np1212	100001	200000	0.0100191561223975	3117	17490	1745656	4552504
Temn_unif	Temn_affi	scaffold100_size479644_arrow_np1212	100001	200000	0.0116242728887779	3401	78256	6732120	10309960
Temn_unif	Temn_nigr	scaffold100_size479644_arrow_np1212	100001	200000	0.0071292540157272	3561	30502	4278428	10207340
Temn_nyla	Temn_affi	scaffold100_size479644_arrow_np1212	100001	200000	0.0229946187494099	3532	306894	13346340	29629340
Temn_nyla	Temn_nigr	scaffold100_size479644_arrow_np1212	100001	200000	0.0169085764086893	3410	119434	7063516	29465812
Temn_nyla	Temn_unif	scaffold100_size479644_arrow_np1212	100001	200000	0.0176855909443751	3812	563750	31876232	66967832
Temn_unif	Temn_nigr	scaffold100_size479644_arrow_np1212	200001	300000	0.007817081644101	3491	39242	5020032	9531424
Temn_nyla	Temn_affi	scaffold100_size479644_arrow_np1212	200001	300000	0.0200845233737293	2223	208270	10369676	32800884
Temn_nyla	Temn_nigr	scaffold100_size479644_arrow_np1212	200001	300000	0.0192414422577026	3071	184164	9571216	27123760
Temn_nyla	Temn_unif	scaffold100_size479644_arrow_np1212	200001	300000	0.0197706680319004	3378	498010	25189336	74102952
Temn_nigr	Temn_affi	scaffold100_size479644_arrow_np1212	200001	300000	0.0112255468825286	2357	18638	1660320	4666400
Temn_unif	Temn_affi	scaffold100_size479644_arrow_np1212	200001	300000	0.0111190856886052	2674	53046	4770716	12348644
Temn_nigr	Temn_affi	scaffold100_size479644_arrow_np1212	300001	400000	0.0249967411572009	1626	17642	705772	3485748
Temn_unif	Temn_affi	scaffold100_size479644_arrow_np1212	300001	400000	0.0253517113651743	2050	42708	1684620	9657140
Temn_unif	Temn_nigr	scaffold100_size479644_arrow_np1212	300001	400000	0.017256838109433	2221	41496	2404612	7235884
Temn_nyla	Temn_affi	scaffold100_size479644_arrow_np1212	300001	400000	0.0065650737325629	1778	13972	2128232	26472728
Temn_nyla	Temn_nigr	scaffold100_size479644_arrow_np1212	300001	400000	0.0185387876427481	1950	66260	3574128	20736688
Temn_nyla	Temn_unif	scaffold100_size479644_arrow_np1212	300001	400000	0.0242039298545162	2376	244502	10101748	55680460
Temn_nigr	Temn_affi	scaffold100_size479644_arrow_np1212	400001	500000	0.0207438468064692	1264	18680	900508	2790532
Temn_unif	Temn_affi	scaffold100_size479644_arrow_np1212	400001	500000	0.0177093463170168	1264	43196	2439164	7548356
Temn_unif	Temn_nigr	scaffold100_size479644_arrow_np1212	400001	500000	0.0171320263842535	2261	52154	3044240	5445152
Temn_nyla	Temn_affi	scaffold100_size479644_arrow_np1212	400001	500000	0.0194166624538104	1239	132122	6804568	18381352
Temn_nyla	Temn_nigr	scaffold100_size479644_arrow_np1212	400001	500000	0.022110776848943	2095	132884	6009920	15398112
Temn_nyla	Temn_unif	scaffold100_size479644_arrow_np1212	400001	500000	0.0191502320385209	2383	333918	17436760	40490856
Temn_nyla	Temn_affi	scaffold101_size720146_arrow_np1212	1	100000	0.0100197690146706	414	1926	192220	8967140
Temn_nigr	Temn_affi	scaffold101_size720146_arrow_np1212	1	100000	0.0153272437777591	286	3658	238660	1103660
Temn_unif	Temn_affi	scaffold101_size720146_arrow_np1212	1	100000	0.0146685894811456	286	9602	654596	2977564
Temn_unif	Temn_nigr	scaffold101_size720146_arrow_np1212	1	100000	0.0045502275113755	286	2340	514260	2573076
