pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
Tapi_erra	Contig1000944	1	100000	0.0	142	0	6199720	513756
Tapi_magn	Contig1000944	1	100000	NA	0	0	0	99826
Tapi_subb	Contig1000944	1	100000	0.0012734797835084	142	8	6282	167668
Tapi_erra	Contig1001901	1	100000	9.916970332285064e-05	134	596	6009900	325352
Tapi_magn	Contig1001901	1	100000	NA	0	0	0	94202
Tapi_subb	Contig1001901	1	100000	0.0	134	0	134	164016
Tapi_erra	Contig1003492	1	100000	0.0	545	0	9538296	16228214
Tapi_magn	Contig1003492	1	100000	0.0	544	0	176254	206881
Tapi_subb	Contig1003492	1	100000	0.0005415929498484	402	195	360049	307576
Tapi_erra	Contig1004352	1	100000	0.0	114	0	31464	5358228
Tapi_magn	Contig1004352	1	100000	NA	0	0	0	80142
Tapi_subb	Contig1004352	1	100000	NA	0	0	0	139650
Tapi_erra	Contig1006094	1	100000	0.0	125	0	5909750	0
Tapi_magn	Contig1006094	1	100000	0.0	125	0	5625	82250
Tapi_subb	Contig1006094	1	100000	0.0	125	0	11375	141750
Tapi_erra	Contig1006228	1	100000	0.0	142	0	4562602	2150874
Tapi_magn	Contig1006228	1	100000	NA	0	0	0	99826
Tapi_subb	Contig1006228	1	100000	0.0	142	0	6390	167560
Tapi_erra	Contig1009401	1	100000	0.0	126	0	5957028	0
Tapi_magn	Contig1009401	1	100000	0.0	126	0	1890	86688
Tapi_subb	Contig1009401	1	100000	0.0	126	0	11466	142884
Tapi_erra	Contig1012032	1	100000	0.0	116	0	109570	5374678
Tapi_magn	Contig1012032	1	100000	NA	0	0	0	81548
Tapi_subb	Contig1012032	1	100000	NA	0	0	0	142100
Tapi_erra	Contig1013558	1	100000	0.0	118	0	5506470	72334
Tapi_magn	Contig1013558	1	100000	0.0	118	0	7788	75166
Tapi_subb	Contig1013558	1	100000	0.0	118	0	5310	139240
Tapi_erra	Contig1013644	1	100000	0.0	130	0	122980	6023160
Tapi_magn	Contig1013644	1	100000	NA	0	0	0	91390
Tapi_subb	Contig1013644	1	100000	NA	0	0	0	159250
Tapi_erra	Contig1022581	1	100000	0.0	142	0	383542	6329934
Tapi_magn	Contig1022581	1	100000	NA	0	0	0	99826
Tapi_subb	Contig1022581	1	100000	NA	0	0	0	173950
Tapi_erra	Contig1022644	1	100000	0.0	142	0	5785503	927973
Tapi_magn	Contig1022644	1	100000	NA	0	0	0	99826
Tapi_subb	Contig1022644	1	100000	0.0	127	0	762	173188
Tapi_erra	Contig1023041	1	100000	0.0	142	0	6116082	597394
Tapi_magn	Contig1023041	1	100000	NA	0	0	0	99826
Tapi_subb	Contig1023041	1	100000	0.0	142	0	2130	171820
Tapi_erra	Contig1023648	1	100000	0.0	276	0	1486726	11562002
Tapi_magn	Contig1023648	1	100000	0.0009074760580784	276	94	103584	90444
Tapi_subb	Contig1023648	1	100000	0.0	135	0	57862	280238
Tapi_erra	Contig1025795	1	100000	0.0	142	0	4279170	2434306
Tapi_magn	Contig1025795	1	100000	0.0010400866738894	142	48	46150	53676
Tapi_subb	Contig1025795	1	100000	0.0	142	0	122262	51688
