pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
Camp_lign	Camp_fall	NW_020229214.1	1	100000	0.0097271949706251	2271	41578	4274408	5224984
Camp_herc	Camp_fall	NW_020229214.1	1	100000	0.0089748514942317	2276	12522	1395232	1672280
Camp_lign	Camp_herc	NW_020229214.1	1	100000	0.0036740509888291	2981	81014	22050320	20018416
Camp_lign	Camp_herc	NW_020229214.1	100001	200000	0.0036417556382422	2082	47946	13165628	11773252
Camp_herc	Camp_fall	NW_020229214.1	100001	200000	0.0116747868453105	1947	11502	985200	833260
Camp_lign	Camp_fall	NW_020229214.1	100001	200000	0.0071869725417977	1957	19638	2732444	2898916
Camp_herc	Camp_fall	NW_020229214.1	200001	300000	0.0084774025075115	2529	10778	1271380	1674612
Camp_lign	Camp_fall	NW_020229214.1	200001	300000	0.0106994964112377	2666	39408	3683164	5439908
Camp_lign	Camp_herc	NW_020229214.1	200001	300000	0.003617305287817	3239	60604	16753908	23648268
Camp_lign	Camp_fall	NW_020229214.1	300001	400000	0.0106750843559031	2308	30612	2867612	4537828
Camp_herc	Camp_fall	NW_020229214.1	300001	400000	0.0086264360248856	2025	8386	972128	1419212
Camp_lign	Camp_herc	NW_020229214.1	300001	400000	0.0031994572230573	2322	38480	12027040	20768480
Camp_herc	Camp_fall	NW_020229214.1	400001	500000	0.0090718690383818	2739	12440	1371272	1749188
Camp_lign	Camp_herc	NW_020229214.1	400001	500000	0.0029230857006967	3170	48774	16685792	26109088
Camp_lign	Camp_fall	NW_020229214.1	400001	500000	0.0075953741493934	2883	31034	4085908	5577452
Camp_herc	Camp_fall	NW_020229214.1	500001	600000	0.0125446869434346	2093	11636	927564	1135672
Camp_lign	Camp_fall	NW_020229214.1	500001	600000	0.011926212942495	2086	32220	2701612	3687764
Camp_lign	Camp_herc	NW_020229214.1	500001	600000	0.005779796920187	2091	72420	12529852	15765956
Camp_lign	Camp_herc	NW_020229214.1	600001	700000	0.0069168718583689	2506	49092	7097428	22805420
Camp_lign	Camp_fall	NW_020229214.1	600001	700000	0.0143048610753131	1797	19980	1396728	5355528
Camp_herc	Camp_fall	NW_020229214.1	600001	700000	0.0090423567075047	1797	4700	519776	1660640
