pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
Temn_unif	scaffold100_size479644_arrow_np1212	1	100000	0.0103589621262366	3749	70612	6816513	10634921
Temn_affi	scaffold100_size479644_arrow_np1212	1	100000	0.0044579020740787	3169	5967	1338522	1913298
Temn_nyla	scaffold100_size479644_arrow_np1212	1	100000	0.0033698695532253	3411	92586	27474654	84237870
Temn_nigr	scaffold100_size479644_arrow_np1212	1	100000	0.004918056741349	3123	4712	958102	1380707
Temn_affi	scaffold100_size479644_arrow_np1212	100001	200000	0.0020277218451818	3802	3153	1554947	2057233
Temn_nigr	scaffold100_size479644_arrow_np1212	100001	200000	0.0047349043330272	3678	3372	712158	1885833
Temn_unif	scaffold100_size479644_arrow_np1212	100001	200000	0.0015827530503814	4109	14549	9192211	10193155
Temn_nyla	scaffold100_size479644_arrow_np1212	100001	200000	0.0005599852192459	4218	24629	43981518	80110758
Temn_unif	scaffold100_size479644_arrow_np1212	200001	300000	0.0017468621701494	4124	13325	7627963	11845309
Temn_nyla	scaffold100_size479644_arrow_np1212	200001	300000	0.0007499470164737	3660	28475	37969349	86685643
Temn_affi	scaffold100_size479644_arrow_np1212	200001	300000	0.0004545180404328	2926	520	1144069	2484491
Temn_nigr	scaffold100_size479644_arrow_np1212	200001	300000	0.0039708576218089	3766	4188	1054684	1555088
Temn_affi	scaffold100_size479644_arrow_np1212	300001	400000	0.0056299141026223	2052	2973	528072	1875888
Temn_nigr	scaffold100_size479644_arrow_np1212	300001	400000	0.0035401307003611	2367	1792	506196	1222806
Temn_unif	scaffold100_size479644_arrow_np1212	300001	400000	0.0018629899013827	2793	8116	4356438	8544814
Temn_nyla	scaffold100_size479644_arrow_np1212	300001	400000	0.0003842912281949	2664	5048	13135871	69449401
Temn_affi	scaffold100_size479644_arrow_np1212	400001	500000	0.0007939929154022	1272	466	586907	1530013
Temn_nigr	scaffold100_size479644_arrow_np1212	400001	500000	0.0085248420152362	2274	4306	505112	1017442
Temn_unif	scaffold100_size479644_arrow_np1212	400001	500000	0.0030411532726311	2700	19952	6560669	4800135
Temn_nyla	scaffold100_size479644_arrow_np1212	400001	500000	0.0001741819044417	2391	4297	24669612	48054732
Temn_unif	scaffold101_size720146_arrow_np1212	1	100000	7.067837100490508e-05	715	60	848916	3282666
Temn_nyla	scaffold101_size720146_arrow_np1212	1	100000	0.0018789222501972	557	100	53222	26394430
Temn_nigr	scaffold101_size720146_arrow_np1212	1	100000	0.0050193779080743	286	452	90051	463656
Temn_affi	scaffold101_size720146_arrow_np1212	1	100000	0.0001262011646564	558	35	277335	492525
Temn_nyla	scaffold101_size720146_arrow_np1212	100001	200000	0.0	707	0	3789080	22819348
Temn_unif	scaffold101_size720146_arrow_np1212	100001	200000	0.0023737940717351	709	4007	1688015	2468683
Temn_nigr	scaffold101_size720146_arrow_np1212	100001	200000	0.001288866285348	705	185	143537	413536
Temn_affi	scaffold101_size720146_arrow_np1212	100001	200000	0.0007337416330992	426	49	66781	707759
Temn_affi	scaffold101_size720146_arrow_np1212	200001	300000	0.005674165311519	1291	3901	687502	875618
Temn_nyla	scaffold101_size720146_arrow_np1212	200001	300000	0.0045676950168939	1573	69258	15162571	38536613
Temn_nigr	scaffold101_size720146_arrow_np1212	200001	300000	0.0024884407911636	1285	1085	436016	688228
Temn_unif	scaffold101_size720146_arrow_np1212	200001	300000	0.0022289927442721	2000	12694	5694949	2693795
Temn_unif	scaffold101_size720146_arrow_np1212	300001	400000	0.0007169706357673	1700	3271	4562251	2553949
Temn_nyla	scaffold101_size720146_arrow_np1212	300001	400000	0.0027306631778117	1288	50292	18417504	27135696
Temn_affi	scaffold101_size720146_arrow_np1212	300001	400000	0.0010394654177851	1288	455	437725	888275
Temn_nigr	scaffold101_size720146_arrow_np1212	300001	400000	0.0063705887504013	1144	2619	411108	542592
Temn_nigr	scaffold101_size720146_arrow_np1212	400001	500000	0.0013136538976233	1117	535	407261	1092292
Temn_nyla	scaffold101_size720146_arrow_np1212	400001	500000	0.0005189253268171	2088	11791	22721959	48903749
Temn_unif	scaffold101_size720146_arrow_np1212	400001	500000	6.519051746972579e-05	1971	269	4126367	7062811
Temn_affi	scaffold101_size720146_arrow_np1212	400001	500000	0.0008560719963742	1401	357	417021	1667919
Temn_affi	scaffold101_size720146_arrow_np1212	500001	600000	6.924548389609715e-05	286	8	115531	858689
Temn_unif	scaffold101_size720146_arrow_np1212	500001	600000	0.0008747359315511	1106	2973	3398740	1829574
Temn_nyla	scaffold101_size720146_arrow_np1212	500001	600000	0.000184686430486	1127	1350	7309687	26158517
Temn_nigr	scaffold101_size720146_arrow_np1212	500001	600000	0.0010823143977066	1106	407	376046	324643
Temn_nyla	scaffold101_size720146_arrow_np1212	600001	700000	0.0008681300107467	1663	5506	6342368	64265092
Temn_unif	scaffold101_size720146_arrow_np1212	600001	700000	0.0017857844375227	2350	9546	5345550	5684560
Temn_nigr	scaffold101_size720146_arrow_np1212	600001	700000	0.0029364301557008	1789	1594	542836	935399
Temn_affi	scaffold101_size720146_arrow_np1212	600001	700000	0.0014079714152026	1114	331	235090	1820210
Temn_affi	scaffold101_size720146_arrow_np1212	700001	800000	0.00164674684924	287	349	211933	123467
Temn_nigr	scaffold101_size720146_arrow_np1212	700001	800000	0.0	287	0	142364	98866
Temn_unif	scaffold101_size720146_arrow_np1212	700001	800000	0.0002324392171447	430	285	1226127	573853
Temn_nyla	scaffold101_size720146_arrow_np1212	700001	800000	0.0008721744014856	430	3343	3832949	7689331
Temn_affi	scaffold102_size527548_arrow_np1212	1	100000	0.0009683650994819	4503	2361	2438130	1429110
Temn_nigr	scaffold102_size527548_arrow_np1212	1	100000	0.0037473396577907	4541	6270	1673187	1108251
Temn_nyla	scaffold102_size527548_arrow_np1212	1	100000	0.0013139700298371	4943	108582	82636588	50217980
Temn_unif	scaffold102_size527548_arrow_np1212	1	100000	0.0030821596704803	4674	33924	11006568	9747620
Temn_nyla	scaffold102_size527548_arrow_np1212	100001	200000	0.0025735514488108	2128	50792	19736151	48084525
Temn_unif	scaffold102_size527548_arrow_np1212	100001	200000	0.0026750071451892	2383	7759	2900553	7694213
Temn_nigr	scaffold102_size527548_arrow_np1212	100001	200000	0.004559159528852	1952	2185	479255	940636
Temn_affi	scaffold102_size527548_arrow_np1212	100001	200000	0.001530954397854	2086	694	453312	1520868
Temn_affi	scaffold102_size527548_arrow_np1212	200001	300000	0.0015388228814863	2777	1710	1111239	1762281
Temn_nyla	scaffold102_size527548_arrow_np1212	200001	300000	0.000602195637338	3522	24919	41380240	57336224
Temn_unif	scaffold102_size527548_arrow_np1212	200001	300000	0.0035644084704066	3536	23358	6553121	8868103
Temn_nigr	scaffold102_size527548_arrow_np1212	200001	300000	0.0023495192957448	3319	2034	865709	1201015
Temn_unif	scaffold102_size527548_arrow_np1212	300001	400000	0.003130456208219	5118	40707	13003536	10329228
