pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
Tetr_caes	VBVO01000001.1	1	100000	0.0034218602817714	8266	1623327	474398972	688510540
Tetr_impu	VBVO01000001.1	1	100000	0.0024762078725856	8114	84157	33986242	42220630
Tetr_immi	VBVO01000001.1	1	100000	0.0020867922803917	5588	685	328255	697985
Tetr_caes	VBVO01000001.1	100001	200000	0.0036859338032672	5971	1191626	323290125	488652426
Tetr_impu	VBVO01000001.1	100001	200000	0.001999218608888	5828	45281	22649349	30558232
Tetr_immi	VBVO01000001.1	100001	200000	0.0021844361894869	4656	551	252239	464281
Tetr_caes	VBVO01000001.1	200001	300000	0.0042563884984664	6192	948408	222819886	619174466
Tetr_impu	VBVO01000001.1	200001	300000	0.0028132523975325	6064	45780	16272980	38903932
Tetr_immi	VBVO01000001.1	200001	300000	0.0033642961426969	3951	636	189044	553996
Tetr_caes	VBVO01000001.1	300001	400000	0.0011106194248345	1855	86404	77798027	174446728
Tetr_impu	VBVO01000001.1	300001	400000	0.0013053953071716	1855	7324	5610561	10919344
Tetr_immi	VBVO01000001.1	300001	400000	0.0009582283422649	1282	54	56354	166246
Tetr_caes	VBVO01000002.1	1	100000	0.001735001148245	3852	202429	116673698	407125114
Tetr_impu	VBVO01000002.1	1	100000	0.003085961943406	3852	27691	8973215	25351957
Tetr_immi	VBVO01000002.1	1	100000	0.00036089791401	2395	30	83126	379114
Tetr_caes	VBVO01000002.1	100001	200000	0.0040029545668942	3816	918178	229375074	327195159
Tetr_impu	VBVO01000002.1	100001	200000	0.0044665309118316	3970	72914	16324526	20148197
Tetr_immi	VBVO01000002.1	100001	200000	0.0064851266804972	2429	1191	183651	307509
Tetr_caes	VBVO01000002.1	200001	300000	0.0014745527870773	1976	172094	116709284	170618569
Tetr_impu	VBVO01000002.1	200001	300000	0.0018328210279382	2113	15265	8328691	10500252
Tetr_immi	VBVO01000002.1	200001	300000	0.0011575528077385	1672	129	111442	142118
Tetr_caes	VBVO01000003.1	1	100000	0.0032801673362912	6658	957460	291893645	632913136
Tetr_impu	VBVO01000003.1	1	100000	0.0025528398323742	6784	54517	21355433	39248278
Tetr_immi	VBVO01000003.1	1	100000	0.0027238573705284	4881	617	226517	589603
Tetr_caes	VBVO01000003.1	100001	200000	0.0039769335539422	4225	979435	246278945	328240780
Tetr_impu	VBVO01000003.1	100001	200000	0.0032258957602952	4225	56628	17554194	20094781
Tetr_immi	VBVO01000003.1	100001	200000	0.0026478143687357	3226	503	189968	317032
Tetr_caes	VBVO01000003.1	200001	300000	0.0042295115562478	1864	414714	98052457	155416127
Tetr_impu	VBVO01000003.1	200001	300000	0.0060540313933874	1864	33099	5467266	11142838
Tetr_immi	VBVO01000003.1	200001	300000	0.0029725043349021	1286	132	44407	179273
Tetr_caes	VBVO01000004.1	1	100000	0.0028488369055828	6645	968522	339971024	583068004
Tetr_impu	VBVO01000004.1	1	100000	0.0026984098492695	6635	65996	24457367	36030501
Tetr_immi	VBVO01000004.1	1	100000	0.0023333075793865	5097	604	258860	555700
Tetr_caes	VBVO01000004.1	100001	200000	0.0027285364303714	5114	729578	267388037	447600061
Tetr_impu	VBVO01000004.1	100001	200000	0.002802963301368	5255	54581	19472606	27381432
