pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
Camp_herc	NW_020229214.1	1	100000	0.0010750246213961	3127	3839	3571081	3111713
Camp_fall	NW_020229214.1	1	100000	0.0018616762386839	2678	306	164368	157226
Camp_lign	NW_020229214.1	1	100000	0.0005469766746341	2986	18728	34239120	30560304
Camp_lign	NW_020229214.1	100001	200000	0.0001055473666559	2093	2018	19119378	19294542
Camp_fall	NW_020229214.1	100001	200000	0.0018749567982304	1957	217	115736	74909
Camp_herc	NW_020229214.1	100001	200000	0.0007343421291777	2084	1701	2316359	1645286
Camp_fall	NW_020229214.1	200001	300000	0.0032143777376964	2673	499	155240	153614
Camp_herc	NW_020229214.1	200001	300000	0.0004898270316409	3245	1352	2760158	3657896
Camp_lign	NW_020229214.1	200001	300000	0.0002134898854688	3385	5602	26240119	35992265
Camp_herc	NW_020229214.1	300001	400000	0.001193898402363	2322	2413	2021110	3188595
Camp_fall	NW_020229214.1	300001	400000	0.0030145895587976	2308	343	113780	136925
Camp_lign	NW_020229214.1	300001	400000	0.0002078709602404	2755	4684	22533210	27982470
Camp_fall	NW_020229214.1	400001	500000	0.0019048824478688	3019	301	158015	169130
Camp_lign	NW_020229214.1	400001	500000	9.277483056661558e-05	3456	2527	27237991	38679929
Camp_herc	NW_020229214.1	400001	500000	0.0015241722224848	3309	5094	3342142	3456003
Camp_fall	NW_020229214.1	500001	600000	0.0025956357517498	2093	290	111726	104581
Camp_herc	NW_020229214.1	500001	600000	0.0033019312681997	2234	7214	2184782	2310125
Camp_lign	NW_020229214.1	500001	600000	0.0032076684589528	2234	60757	18941172	24643500
Camp_lign	NW_020229214.1	600001	700000	0.0013798766488591	2511	13951	10110324	35949708
Camp_herc	NW_020229214.1	600001	700000	0.000283968373598	2506	370	1302962	3447230
Camp_fall	NW_020229214.1	600001	700000	0.0019642613558859	1798	144	73310	155282
Camp_lign	NW_020229214.1	700001	800000	0.0001803402517263	2658	3809	21121186	35518718
Camp_herc	NW_020229214.1	700001	800000	0.0002792163553712	2657	741	2653856	3187443
Camp_fall	NW_020229214.1	700001	800000	0.0007483306470181	2647	104	138976	142123
Camp_fall	NW_020229214.1	800001	900000	0.0015488065755273	2209	202	130423	160049
Camp_herc	NW_020229214.1	800001	900000	0.0005101509311403	3172	1998	3916488	2119584
Camp_lign	NW_020229214.1	800001	900000	0.0002794846479917	3038	7966	28502460	30026052
Camp_fall	NW_020229214.1	900001	1000000	0.0014837263629762	1948	141	95031	169779
