pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
Lasi_flav	scaffold100_size947221_arrow_np1212	1	100000	0.0	117	0	117	68634867
Lasi_mixt	scaffold100_size947221_arrow_np1212	1	100000	0.0082081313301012	137	171	20833	166127
Lasi_nige	scaffold100_size947221_arrow_np1212	1	100000	8.262108823841223e-05	984	2179	26373412	41528492
Lasi_fuli	scaffold100_size947221_arrow_np1212	1	100000	NA	0	0	0	12832344
Lasi_plat	scaffold100_size947221_arrow_np1212	1	100000	1.3754812474016189e-05	984	191	13886049	41493471
Lasi_brun	scaffold100_size947221_arrow_np1212	1	100000	0.0	126	0	126	9301626
Lasi_emar	scaffold100_size947221_arrow_np1212	1	100000	0.0027950134127958	690	21549	7709802	55876278
Lasi_para	scaffold100_size947221_arrow_np1212	1	100000	0.0	429	0	113828	1512724
Lasi_emar	scaffold100_size947221_arrow_np1212	100001	200000	0.0002364509191234	2254	8776	37115525	173028715
Lasi_para	scaffold100_size947221_arrow_np1212	100001	200000	8.959093831576062e-05	1961	102	1138508	4237048
Lasi_fuli	scaffold100_size947221_arrow_np1212	100001	200000	8.97007571734466e-05	711	163	1817153	40592179
Lasi_nige	scaffold100_size947221_arrow_np1212	100001	200000	0.0012691268309543	2969	120610	95033843	129373669
Lasi_flav	scaffold100_size947221_arrow_np1212	100001	200000	0.0080226811285293	1248	141843	17680249	209150003
Lasi_mixt	scaffold100_size947221_arrow_np1212	100001	200000	0.0033506483207105	689	169	50438	567442
Lasi_brun	scaffold100_size947221_arrow_np1212	100001	200000	0.0023287519408404	849	9077	3897796	26843360
Lasi_plat	scaffold100_size947221_arrow_np1212	100001	200000	0.0002185690722587	2801	12058	55167915	127854645
Lasi_plat	scaffold100_size947221_arrow_np1212	200001	300000	0.0021492772153698	2833	149963	69773689	89667551
Lasi_brun	scaffold100_size947221_arrow_np1212	200001	300000	0.0020624807748908	851	2796	1355649	25424700
Lasi_emar	scaffold100_size947221_arrow_np1212	200001	300000	0.001235836205358	2547	104238	84346129	98722331
Lasi_flav	scaffold100_size947221_arrow_np1212	200001	300000	0.0	706	0	3423	197601160
Lasi_para	scaffold100_size947221_arrow_np1212	200001	300000	0.0002582860011416	1417	319	1235065	3447884
Lasi_nige	scaffold100_size947221_arrow_np1212	200001	300000	0.0044737435910133	2831	437628	97821431	97672567
Lasi_fuli	scaffold100_size947221_arrow_np1212	200001	300000	0.0	709	0	3426	36941727
Lasi_mixt	scaffold100_size947221_arrow_np1212	200001	300000	0.0100334448160535	135	255	25415	512855
Lasi_brun	scaffold100_size947221_arrow_np1212	300001	400000	0.0100977881921905	1282	8136	805721	26192047
Lasi_emar	scaffold100_size947221_arrow_np1212	300001	400000	0.0017894911768093	2855	134379	75093413	109461307
Lasi_flav	scaffold100_size947221_arrow_np1212	300001	400000	0.0010721897789392	1286	19879	18540561	180668295
