pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
Form_rufi	FsiM_PB_v5_ctg1012_frg1_d	1	100000	0.0077485414223987	143	50153	6472573	10418282
Form_sang	FsiM_PB_v5_ctg1012_frg1_d	1	100000	0.0	282	0	11277	2586663
Form_prat	FsiM_PB_v5_ctg1012_frg1_d	1	100000	NA	0	0	0	2372955
Form_cuni	FsiM_PB_v5_ctg1012_frg1_d	1	100000	0.0066719951345102	143	28457	4265141	10543117
Form_fusc	FsiM_PB_v5_ctg1012_frg1_d	1	100000	0.0	283	0	283	5975262
Form_rufa	FsiM_PB_v5_ctg1012_frg1_d	1	100000	0.0071428571428571	140	1	140	5297903
Form_poly	FsiM_PB_v5_ctg1012_frg1_d	1	100000	0.0	139	0	139	3421331
Form_lema	FsiM_PB_v5_ctg1012_frg1_d	1	100000	0.0002143886417464	283	1816	8470598	13662832
Form_para	FsiM_PB_v5_ctg1012_frg1_d	1	100000	NA	0	0	0	7847590
Form_lugu	FsiM_PB_v5_ctg1012_frg1_d	1	100000	NA	0	0	0	12355780
Form_exse	FsiM_PB_v5_ctg1012_frg1_d	1	100000	NA	0	0	0	18678
Form_pres	FsiM_PB_v5_ctg1012_frg1_d	1	100000	0.0	120	0	720	9092353
Form_rufi	FsiM_PB_v5_ctg1059_frg1_d	1	100000	NA	0	0	0	8236530
Form_sang	FsiM_PB_v5_ctg1059_frg1_d	1	100000	NA	0	0	0	1266840
Form_prat	FsiM_PB_v5_ctg1059_frg1_d	1	100000	NA	0	0	0	1157130
Form_cuni	FsiM_PB_v5_ctg1059_frg1_d	1	100000	NA	0	0	0	7220988
Form_fusc	FsiM_PB_v5_ctg1059_frg1_d	1	100000	0.0	138	0	2034	2911836
Form_rufa	FsiM_PB_v5_ctg1059_frg1_d	1	100000	0.0057139502573234	138	292	51103	2532395
Form_poly	FsiM_PB_v5_ctg1059_frg1_d	1	100000	0.0058763211863069	138	447	76068	1592352
Form_lema	FsiM_PB_v5_ctg1059_frg1_d	1	100000	NA	0	0	0	10792980
Form_para	FsiM_PB_v5_ctg1059_frg1_d	1	100000	0.0110582621090058	138	2118	191531	3635209
Form_lugu	FsiM_PB_v5_ctg1059_frg1_d	1	100000	0.0051634610482772	138	1418	274622	5750458
Form_exse	FsiM_PB_v5_ctg1059_frg1_d	1	100000	NA	0	0	0	9108
Form_pres	FsiM_PB_v5_ctg1059_frg1_d	1	100000	NA	0	0	0	4434078
Form_rufi	FsiM_PB_v5_ctg1067_d	1	100000	NA	0	0	0	8534955
Form_sang	FsiM_PB_v5_ctg1067_d	1	100000	0.0036025100641992	142	2588	718388	594352
Form_prat	FsiM_PB_v5_ctg1067_d	1	100000	0.0058091286307053	142	567	97605	1101450
Form_cuni	FsiM_PB_v5_ctg1067_d	1	100000	0.0	141	0	846	7481772
Form_fusc	FsiM_PB_v5_ctg1067_d	1	100000	0.0002129107227497	143	557	2616120	403325
